Time (sec)	¥ÄZ/Z0 (%)	¥ÄZ/Z0 (%) with a smoothing filter
0.001	0.36626	-0.80502
0.1	0.35084	-0.8043
0.199	0.33555	-0.80357
0.298	0.32039	-0.80285
0.398	0.30535	-0.80213
0.497	0.29045	-0.80141
0.596	0.27567	-0.80069
0.696	0.26103	-0.79997
0.795	0.24651	-0.79924
0.894	0.23213	-0.79852
0.994	0.21787	-0.7978
1.093	0.20374	-0.79708
1.192	0.18974	-0.79636
1.291	0.17587	-0.79564
1.391	0.16213	-0.79492
1.49	0.14851	-0.7942
1.589	0.13503	-0.79348
1.689	0.12168	-0.79276
1.788	0.10845	-0.79204
1.887	0.09536	-0.79132
1.987	0.08239	-0.7906
2.086	0.06955	-0.78989
2.185	0.05685	-0.78917
2.285	0.04427	-0.78845
2.384	0.03182	-0.78773
2.483	0.0195	-0.78701
2.582	0.00731	-0.78629
2.682	-0.00475	-0.78558
2.781	-0.01669	-0.78486
2.88	-0.02849	-0.78414
2.98	-0.04017	-0.78342
3.079	-0.05171	-0.78271
3.178	-0.06313	-0.78199
3.278	-0.07441	-0.78127
3.377	-0.08557	-0.78055
3.476	-0.0966	-0.77984
3.575	-0.1075	-0.77912
3.675	-0.11827	-0.77841
3.774	-0.12891	-0.77769
3.873	-0.13942	-0.77697
3.973	-0.14981	-0.77626
4.072	-0.16006	-0.77554
4.171	-0.17019	-0.77483
4.271	-0.18018	-0.77411
4.37	-0.19005	-0.7734
4.469	-0.19978	-0.77268
4.568	-0.20939	-0.77197
4.668	-0.21887	-0.77125
4.767	-0.22822	-0.77054
4.866	-0.23744	-0.76982
4.966	-0.24653	-0.76911
5.065	-0.25549	-0.7684
5.164	-0.26433	-0.76768
5.264	-0.27303	-0.76697
5.363	-0.2816	-0.76626
5.462	-0.29005	-0.76554
5.562	-0.29836	-0.76483
5.661	-0.30655	-0.76412
5.76	-0.31461	-0.7634
5.859	-0.32254	-0.76269
5.959	-0.33034	-0.76198
6.058	-0.33801	-0.76127
6.157	-0.34555	-0.76055
6.257	-0.35296	-0.75984
6.356	-0.36024	-0.75913
6.455	-0.3674	-0.75842
6.555	-0.37442	-0.75771
6.654	-0.38132	-0.757
6.753	-0.38808	-0.75629
6.852	-0.39472	-0.75557
6.952	-0.40123	-0.75486
7.051	-0.40761	-0.75415
7.15	-0.41385	-0.75344
7.25	-0.41997	-0.75273
7.349	-0.42597	-0.75202
7.448	-0.43183	-0.75131
7.548	-0.43756	-0.7506
7.647	-0.44316	-0.74989
7.746	-0.44864	-0.74918
7.845	-0.45398	-0.74847
7.945	-0.4592	-0.74777
8.044	-0.46429	-0.74706
8.143	-0.46924	-0.74635
8.243	-0.47407	-0.74564
8.342	-0.47877	-0.74493
8.441	-0.48334	-0.74422
8.541	-0.48778	-0.74352
8.64	-0.49209	-0.74281
8.739	-0.49628	-0.7421
8.839	-0.50033	-0.74139
8.938	-0.50425	-0.74068
9.037	-0.50805	-0.73998
9.136	-0.51172	-0.73927
9.236	-0.51525	-0.73856
9.335	-0.51866	-0.73786
9.434	-0.52194	-0.73715
9.534	-0.52509	-0.73644
9.633	-0.52811	-0.73574
9.732	-0.531	-0.73503
9.832	-0.53376	-0.73433
9.931	-0.53639	-0.73362
10.03	-0.53883	-0.73292
10.129	-0.54064	-0.73221
10.229	-0.54147	-0.7315
10.328	-0.54218	-0.7308
10.427	-0.54234	-0.73009
10.527	-0.54178	-0.72939
10.626	-0.54036	-0.72869
10.725	-0.5368	-0.72798
10.825	-0.531	-0.72728
10.924	-0.5219	-0.72657
11.023	-0.51046	-0.72587
11.122	-0.49646	-0.72517
11.222	-0.48111	-0.72446
11.321	-0.46493	-0.72376
11.42	-0.44827	-0.72306
11.52	-0.43192	-0.72235
11.619	-0.41586	-0.72165
11.718	-0.40177	-0.72095
11.818	-0.39005	-0.72024
11.917	-0.37955	-0.71954
12.016	-0.37023	-0.71884
12.116	-0.36032	-0.71814
12.215	-0.34958	-0.71744
12.314	-0.33848	-0.71674
12.413	-0.32752	-0.71603
12.513	-0.31625	-0.71533
12.612	-0.3046	-0.71463
12.711	-0.29316	-0.71393
12.811	-0.28213	-0.71323
12.91	-0.27339	-0.71253
13.009	-0.26539	-0.71183
13.109	-0.25799	-0.71113
13.208	-0.25106	-0.71043
13.307	-0.2449	-0.70973
13.406	-0.24148	-0.70903
13.506	-0.24049	-0.70833
13.605	-0.24224	-0.70763
13.704	-0.24434	-0.70693
13.804	-0.24683	-0.70623
13.903	-0.25009	-0.70553
14.002	-0.25345	-0.70483
14.102	-0.25787	-0.70413
14.201	-0.26246	-0.70344
14.3	-0.26719	-0.70274
14.399	-0.27245	-0.70204
14.499	-0.27826	-0.70134
14.598	-0.28444	-0.70064
14.697	-0.29184	-0.69995
14.797	-0.29928	-0.69925
14.896	-0.3076	-0.69855
14.995	-0.31655	-0.69785
15.095	-0.32585	-0.69716
15.194	-0.33632	-0.69646
15.293	-0.34731	-0.69576
15.393	-0.35825	-0.69507
15.492	-0.36859	-0.69437
15.591	-0.37853	-0.69368
15.69	-0.38763	-0.69298
15.79	-0.39686	-0.69228
15.889	-0.40504	-0.69159
15.988	-0.41145	-0.69089
16.088	-0.41591	-0.6902
16.187	-0.41855	-0.6895
16.286	-0.42149	-0.68881
16.386	-0.42341	-0.68811
16.485	-0.42612	-0.68742
